Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_On_Board,Total_Fatal_Serious,Injury_Fraction,Destroyed,make_model
20050407X00427,Accident,DFW05CA098,2005-03-18,"CROSBYTON, TX",United States,33.620278,-101.245833,8F3,Dummy,Non-Fatal,Substantial,N9017Z,Air Tractor,AT-602,No,1,Turboprop,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,25-07-2007,1.0,0.0,0.0,False,Air Tractor AT-602
20050405X00415,Accident,DFW05CA093,2005-03-18,"SPRING, TX",United States,30.061667,-95.553333,DWH,Daviid Wayne Hooks,Non-Fatal,Substantial,N91505,Cessna,172M,No,1,Piston,Personal,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,08-06-2005,2.0,0.0,0.0,False,Cessna 172M
20050328X00366,Accident,DFW05CA091,2005-03-18,"RIO GRANDE CITY, TX",United States,26.4075,-98.845833,NONE,Private Airstrip,Non-Fatal,Substantial,N6372D,Cessna,172N,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,08-06-2005,2.0,0.0,0.0,False,Cessna 172N
20050502X00533,Accident,ATL05CA063,2005-03-18,"CHARLOTTE, NC",United States,35.213889,-80.943055,,,Non-Fatal,Substantial,N7148M,Cessna,175,No,1,Piston,Positioning,0.0,0.0,1.0,0.0,VMC,Descent,Probable Cause,07-07-2005,1.0,0.0,0.0,False,Cessna 175
20050325X00363,Incident,DCA05WA046,2005-03-18,"Launceston, Australia",Australia,,,,,Incident,,,Boeing,717-200,No,1,,,0.0,0.0,0.0,0.0,,,Foreign,25-03-2005,0.0,0.0,,False,Boeing 717-200
20050404X00406,Accident,NYC05CA062,2005-03-19,"MITCHELLVILLE, MD",United States,38.941111,-76.772223,WOO,Freeway Airport,Non-Fatal,Substantial,N11965,Cessna,150L,No,1,Piston,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-06-2005,1.0,0.0,0.0,False,Cessna 150L
20050324X00358,Accident,MIA05LA080,2005-03-19,"HOMESTEAD, FL",United States,25.498611,-80.554167,X51,HOMESTEAD GENERAL AVIATION,Non-Fatal,Substantial,N1ZP,Robinson,R44,No,1,Piston,Instructional,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,07-07-2005,2.0,0.0,0.0,False,Robinson R44
20050404X00404,Accident,IAD05LA049,2005-03-19,"NORTHAMPTON, MA",United States,42.328056,-72.611389,7B2,Northampton Airport,Non-Fatal,Substantial,N3679T,Taylorcraft,F19,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,13-09-2005,2.0,0.0,0.0,False,Taylorcraft F19
20050330X00381,Accident,IAD05LA046,2005-03-19,"LEET, WV",United States,38.051944,-81.986944,,,Non-Fatal,Substantial,N61193,Schweizer,269C,No,1,Piston,Personal,0.0,1.0,0.0,1.0,VMC,Maneuvering,Probable Cause,29-08-2006,2.0,1.0,0.5,False,Schweizer 269C
20050331X00384,Accident,DFW05CA090,2005-03-19,"NACHOGDOCHES, TX",United States,31.577778,-94.709444,OCH,A L Mangham Jr. Regional,Non-Fatal,Substantial,N12CT,Cessna,172,No,1,Piston,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,08-06-2005,1.0,0.0,0.0,False,Cessna 172
20050324X00360,Accident,DEN05LA064,2005-03-19,"ROCK SPRINGS, WY",United States,,,RKS,Rock Springs-Sweetwater County,Non-Fatal,Substantial,N30874,Cessna,177B,No,1,Piston,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,07-07-2005,2.0,0.0,0.0,False,Cessna 177B
20050330X00380,Accident,ATL05CA064,2005-03-19,"EASTMAN, GA",United States,32.213889,-83.127778,,,Non-Fatal,Substantial,N32033,Piper,PA28-151,No,1,Piston,Instructional,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,08-06-2005,2.0,0.0,0.0,False,Piper PA28-151
